10-4-2021,General,GJ11489,FREIGHT ,50201,FREIGHT AND HANDLING,189.00,0.00
10-4-2021,General,GJ11489,FREIGHT ,10010,CASH IN BANK,0.00,189.00
10-4-2021,General,GJ11508,To record Wtax Expanded Payment for Sept 2021   ,20080,WITHHOLDING TAX PAYABLE - EXPANDED,3195.97,0.00
10-4-2021,General,GJ11508,To record Wtax Expanded Payment for Sept 2021   ,10010,CASH IN BANK,0.00,3195.97
10-5-2021,General,GJ11507,To record Wtax Compensation Payment for Sept 2021   ,20090,WITHHOLDING TAX PAYABLE - COMPENSATION,560.47,0.00
10-5-2021,General,GJ11507,To record Wtax Compensation Payment for Sept 2021   ,10010,CASH IN BANK,0.00,560.47
10-7-2021,General,GJ11490,PARKING FEE ,50200,MISCELLANEOUS,20.00,0.00
10-7-2021,General,GJ11490,PARKING FEE ,10010,CASH IN BANK,0.00,20.00
10-8-2021,General,GJ11491,PARKING FEE ,50200,MISCELLANEOUS,40.00,0.00
10-8-2021,General,GJ11491,PARKING FEE ,10010,CASH IN BANK,0.00,40.00
10-12-2021,General,GJ11492,GAS ,50140,GAS AND OIL,446.43,0.00
10-12-2021,General,GJ11492,GAS ,10070,INPUT VAT,53.57,0.00
10-12-2021,General,GJ11492,GAS ,10010,CASH IN BANK,0.00,500.00
10-13-2021,General,GJ11493,MEAL ALLOWANCE ,50170,MEALS,459.82,0.00
10-13-2021,General,GJ11493,MEAL ALLOWANCE ,10070,INPUT VAT,55.18,0.00
10-13-2021,General,GJ11493,MEAL ALLOWANCE ,10010,CASH IN BANK,0.00,515.00
10-14-2021,General,GJ11494,MEAL ALLOWANCE ,50170,MEALS,2422.50,0.00
10-14-2021,General,GJ11494,MEAL ALLOWANCE ,10010,CASH IN BANK,0.00,2422.50
10-15-2021,General,GJ11495,TOLL FEE ,50200,MISCELLANEOUS,2678.57,0.00
10-15-2021,General,GJ11495,TOLL FEE ,10070,INPUT VAT,321.43,0.00
10-15-2021,General,GJ11495,TOLL FEE ,10010,CASH IN BANK,0.00,3000.00
10-18-2021,General,GJ11496,NOTARIAL FEE ,50200,MISCELLANEOUS,100.00,0.00
10-18-2021,General,GJ11496,NOTARIAL FEE ,10010,CASH IN BANK,0.00,100.00
10-20-2021,General,GJ11497,MAINTENANCE ,50205,REPAIRS & MAINTENANCE,150.00,0.00
10-20-2021,General,GJ11497,MAINTENANCE ,10010,CASH IN BANK,0.00,150.00
10-25-2021,General,GJ11498,GAS ,50140,GAS AND OIL,1277.69,0.00
10-25-2021,General,GJ11498,GAS ,10070,INPUT VAT,153.32,0.00
10-25-2021,General,GJ11498,GAS ,10010,CASH IN BANK,0.00,1431.01
10-25-2021,General,GJ11499,SUPPLIES ,50241,SUPPLIES,693.00,0.00
10-25-2021,General,GJ11499,SUPPLIES ,10010,CASH IN BANK,0.00,693.00
10-25-2021,General,GJ11500,REPRESENTATION ,50215,REPRESENTATION,3800.00,0.00
10-25-2021,General,GJ11500,REPRESENTATION ,10010,CASH IN BANK,0.00,3800.00
10-29-2021,General,GJ11501,GAS ,50140,GAS AND OIL,500.00,0.00
10-29-2021,General,GJ11501,GAS ,10010,CASH IN BANK,0.00,500.00
10-30-2021,General,GJ11502,TOLL FEE ,50200,MISCELLANEOUS,1710.71,0.00
10-30-2021,General,GJ11502,TOLL FEE ,10070,INPUT VAT,205.29,0.00
